prv000001;121;131;193;land;3633.65991210938;19.0
prv000002;214;66;27;land;3672.580078125;19.0599994659424
prv000003;207;21;45;land;3707.19995117188;19.3199996948242
prv000004;185;241;225;land;3731.0;12.6700000762939
prv000005;171;206;5;land;3750.57006835938;15.6000003814697
prv000006;113;137;132;land;3775.47998046875;10.8400001525879
prv000007;241;160;175;land;3806.22998046875;23.9300003051758
prv000008;184;83;60;land;3596.98999023438;37.1199989318848
prv000009;107;222;246;land;3626.28002929688;31.2900009155273
prv000010;198;244;67;land;3647.86010742188;35.9300003051758
prv000011;34;32;204;land;3682.47998046875;34.060001373291
prv000012;156;64;249;land;3720.73999023438;38.2900009155273
prv000013;229;221;209;land;3747.330078125;33.8899993896484
prv000014;38;212;167;land;3777.92993164063;29.7199993133545
prv000015;238;177;180;land;3825.32006835938;37.0200004577637
prv000016;137;145;210;land;3837.32006835938;37.3800010681152
prv000017;189;216;27;land;3577.15991210938;54.810001373291
prv000018;228;102;54;land;3592.15991210938;58.0099983215332
prv000019;150;107;91;land;3622.3701171875;51.1500015258789
prv000020;228;71;66;land;3673.669921875;45.7700004577637
prv000021;77;199;98;land;3709.080078125;60.4500007629395
prv000022;197;93;168;land;3737.75;50.4799995422363
prv000023;9;177;108;land;3755.580078125;47.3600006103516
prv000024;97;84;192;land;3791.4599609375;50.8800010681152
prv000025;129;41;218;land;3822.669921875;56.75
prv000026;220;125;141;land;3845.69995117188;50.8199996948242
prv000027;0;178;54;land;3871.8701171875;61.7200012207031
prv000028;170;218;56;land;3442.65991210938;87.4800033569336
prv000029;239;12;153;land;3516.48999023438;81.5100021362305
prv000030;27;60;193;land;3526.02001953125;78.0500030517578
prv000031;140;231;126;land;3572.51000976563;69.0699996948242
prv000032;224;41;219;land;3603.65991210938;67.5
prv000033;225;113;97;land;3631.28002929688;73.0500030517578
prv000034;16;1;30;land;3665.27001953125;65.8199996948242
prv000035;26;86;211;land;3691.73999023438;64.620002746582
prv000036;98;46;108;land;3736.25;72.3499984741211
prv000037;40;180;161;land;3769.65991210938;63.4300003051758
prv000038;63;124;82;land;3797.30004882813;79.9300003051758
prv000039;250;128;59;land;3808.3701171875;65.2300033569336
prv000040;143;186;5;land;3855.55004882813;79.2799987792969
prv000041;170;244;212;land;3891.64990234375;74.9400024414063
prv000042;22;198;167;land;3907.8798828125;78.3300018310547
prv000043;129;166;102;land;3426.3701171875;105.379997253418
prv000044;170;31;209;land;3453.80004882813;86.6999969482422
prv000045;236;146;187;land;3458.2099609375;98.9499969482422
prv000046;128;231;56;land;3507.71997070313;93.7600021362305
prv000047;24;189;139;land;3536.82006835938;91.2900009155273
prv000048;33;99;127;land;3582.10009765625;86.2399978637695
prv000049;10;92;218;land;3604.60009765625;91.3000030517578
prv000050;200;201;182;land;3633.5;87.3600006103516
prv000051;98;241;239;land;3674.28002929688;90.9100036621094
prv000052;246;157;65;land;3705.40991210938;93.9199981689453
prv000053;193;2;173;land;3734.669921875;95.5100021362305
prv000054;79;56;77;land;3764.7099609375;91.629997253418
prv000055;246;213;186;land;3792.26000976563;97.7399978637695
prv000056;93;185;101;land;3823.93994140625;85.3099975585938
prv000057;16;175;209;land;3839.44995117188;86.7900009155273
prv000058;130;79;145;land;3880.39990234375;88.2600021362305
prv000059;201;150;190;land;3902.47998046875;86.6800003051758
prv000060;44;83;100;land;2645.55004882813;123.949996948242
prv000061;108;95;192;land;2682.09008789063;124.029998779297
prv000062;114;155;145;land;2701.57006835938;124.01000213623
prv000063;116;143;235;land;3390.64990234375;132.740005493164
prv000064;130;241;220;land;3406.3701171875;118.940002441406
prv000065;44;12;152;land;3441.63989257813;119.080001831055
prv000066;241;236;65;land;3469.97998046875;117.059997558594
prv000067;200;106;143;land;3511.81005859375;115.370002746582
prv000068;124;123;139;land;3525.86010742188;105.300003051758
prv000069;13;148;172;land;3550.73999023438;110.110000610352
prv000070;165;97;82;land;3598.80004882813;111.76000213623
prv000071;243;64;120;land;3630.89990234375;107.809997558594
prv000072;243;214;153;land;3655.93994140625;107.620002746582
prv000073;209;126;200;land;3695.59008789063;111.480003356934
prv000074;50;228;95;land;3725.5;116.839996337891
prv000075;169;54;51;land;3753.89990234375;113.519996643066
prv000076;144;206;120;land;3804.60009765625;124.839996337891
prv000077;15;201;162;land;3822.88989257813;125.440002441406
prv000078;187;107;48;land;3842.18994140625;126.699996948242
prv000079;27;235;227;land;3901.59008789063;126.949996948242
prv000080;232;188;0;land;3917.669921875;119.01000213623
prv000081;14;111;10;land;3931.0;121.389999389648
prv000082;183;255;167;land;2525.03002929688;140.940002441406
prv000083;191;81;141;land;2546.21997070313;137.919998168945
prv000084;167;187;44;land;2569.48999023438;140.110000610352
prv000085;182;11;238;land;2624.80004882813;141.110000610352
prv000086;245;157;47;land;2644.580078125;137.089996337891
prv000087;157;146;4;land;2677.89990234375;137.039993286133
prv000088;128;52;240;land;2692.35009765625;147.270004272461
prv000089;219;147;64;land;2733.73999023438;141.570007324219
prv000090;167;95;24;land;2750.43994140625;145.600006103516
prv000091;188;72;91;land;3365.7900390625;139.220001220703
prv000092;114;153;245;land;3367.35009765625;132.550003051758
prv000093;244;252;160;land;3415.19995117188;138.119995117188
prv000094;11;61;249;land;3432.86010742188;139.639999389648
prv000095;115;138;14;land;3468.169921875;134.339996337891
prv000096;211;186;208;land;3496.580078125;126.440002441406
prv000097;35;172;24;land;3533.94995117188;126.150001525879
prv000098;85;241;188;land;3556.830078125;141.470001220703
prv000099;245;129;193;land;3598.82006835938;128.899993896484
prv000100;196;213;31;land;3618.05004882813;137.339996337891
prv000101;79;241;178;land;3658.76000976563;132.380004882813
